title_key,author_key,title,author,genre,first_year,last_year,appear_count,avg_rating,avg_reviews,max_reviews,avg_price,title_length,title_word_count,has_colon,has_number,duration,is_multi_year_bestseller,is_long_seller,has_reentry
the deep end diary of a wimpy kid book 15,jeff kinney,The Deep End (Diary of a Wimpy Kid Book 15),Jeff Kinney,Fiction,2020,2020,1,4.9,38674.0,38674.0,7.0,43,10,0,1,1,0,0,0
the song of achilles a novel,madeline miller,The Song of Achilles: A Novel,Madeline Miller,Fiction,2021,2021,1,4.7,38186.0,38186.0,10.0,29,6,1,0,1,0,0,0
burn after writing,sharon jones,Burn After Writing,Sharon Jones,Non Fiction,2020,2020,1,4.6,36689.0,36689.0,7.0,18,3,0,0,1,0,0,0
the alchemist,paulo coelho,The Alchemist,Paulo Coelho,Fiction,2014,2014,1,4.7,35799.0,35799.0,39.0,13,2,0,0,1,0,0,0
wacky waving inflatable tube guy rp minis,conor riordan,Wacky Waving Inflatable Tube Guy (RP Minis),Conor Riordan,Fiction,2020,2020,1,4.0,35772.0,35772.0,12.0,43,7,0,0,1,0,0,0
go tell the bees that i am gone a novel outlander,diana gabaldon,Go Tell the Bees That I Am Gone: A Novel (Outlander),Diana Gabaldon,Fiction,2021,2021,1,4.7,35580.0,35580.0,20.0,52,11,1,0,1,0,0,0
we were liars,e lockhart,We Were Liars,E. Lockhart,Fiction,2021,2021,1,4.5,34117.0,34117.0,6.0,13,3,0,0,1,0,0,0
ugly love a novel,colleen hoover,Ugly Love: A Novel,Colleen Hoover,Fiction,2022,2022,1,4.7,33929.0,33929.0,10.0,18,4,1,0,1,0,0,0
rage,bob woodward,Rage,Bob Woodward,Non Fiction,2020,2020,1,4.6,33469.0,33469.0,8.0,4,1,0,0,1,0,0,0
the hunger games,suzanne collins,The Hunger Games,Suzanne Collins,Fiction,2010,2010,1,4.7,32122.0,32122.0,14.0,16,3,0,0,1,0,0,0
crystals for beginners the guide to get started with the healing power of crystals,karen frazier,Crystals for Beginners: The Guide to Get Started with the Healing Power of Crystals,Karen Frazier,Non Fiction,2021,2021,1,4.8,30513.0,30513.0,9.0,83,14,1,0,1,0,0,0
