title_key,author_key,year,title,author,amazon_rating,amazon_reviews,price,genre,title_length,title_word_count,has_colon,has_number,review_log,review_level,rating_level
harry potter coloring book,scholastic,2015,Harry Potter Coloring Book,Scholastic,4.7,3564.0,9.0,Non Fiction,26,4,0,0,8.178919332848396,low,high
harry potter paperback box set books 17,j k rowling,2016,Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471.0,52.0,Fiction,42,7,0,1,9.508368736482108,middle,high
have a little faith a true story,mitch albom,2009,Have a Little Faith: A True Story,Mitch Albom,4.8,1930.0,4.0,Non Fiction,33,7,1,0,7.565793282428515,low,high
heaven is for real a little boys astounding story of his trip to heaven and back,todd burpo,2011,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779.0,10.0,Non Fiction,82,16,1,0,9.666498594399865,middle,high
heaven is for real a little boys astounding story of his trip to heaven and back,todd burpo,2012,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779.0,10.0,Non Fiction,82,16,1,0,9.666498594399865,middle,high
hillbilly elegy a memoir of a family and culture in crisis,j d vance,2016,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526.0,14.0,Non Fiction,59,11,1,0,9.65033572298117,middle,normal
hillbilly elegy a memoir of a family and culture in crisis,j d vance,2017,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526.0,14.0,Non Fiction,59,11,1,0,9.65033572298117,middle,normal
homebody a guide to creating spaces you never want to leave,joanna gaines,2018,Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3776.0,22.0,Non Fiction,60,11,1,0,8.236685322712457,low,high
house of sky and breath crescent city,sarah j maas,2022,House of Sky and Breath (Crescent City),Sarah J. Maas,4.8,14327.0,18.0,Fiction,39,7,0,0,9.569970943740548,middle,high
how to be an antiracist,ibram x kendi,2020,How to Be an Antiracist,Ibram X. Kendi,4.7,24386.0,17.0,Non Fiction,23,5,0,0,10.101805482414681,high,high
how to catch a leprechaun,adam wallace,2022,How to Catch a Leprechaun,Adam Wallace,4.8,6020.0,10.0,Fiction,25,5,0,0,8.703008637464448,low,high
how to catch a mermaid,adam wallace,2020,How to Catch a Mermaid,Adam Wallace,4.8,26660.0,5.0,Fiction,22,5,0,0,10.190957102406585,high,high
how to catch a mermaid,adam wallace,2021,How to Catch a Mermaid,Adam Wallace,4.8,26660.0,5.0,Fiction,22,5,0,0,10.190957102406585,high,high
